Type,Model,Processor,RAM,Graphics Card,Storage,Screen Size,Price,Average Rating,Speed,COUNT
Laptop,Asus TUF Gaming F15 FX507ZC4-HN105,Intel Core i7 12700H,16GB,NVIDIA GeForce RTX 3050 Ti,512GB SSD,15.6 inches,3822,0.442,,5
Laptop,Dell Gaming G5530 G5530-7339, Intel Core i7 13650HX,16GB,NVIDIA GeForce RTX 3050,512GB SSD,15.6 inches,4945,0.516,,12
Laptop,Gigabyte G5 15 G5-KF-E3EE313SD, Intel Core i5 12500H,16GB,NVIDIA GeForce RTX 4060,512GB SSD,15.6 inches,4254,0.3535,,7
Laptop,Asus TUF Gaming F15 FX507ZC4-HN073,Intel Core i5 12500H,16GB,NVIDIA GeForce RTX 3050,256GB SSD,15.6 inches,3500,0.3535,,9
Laptop,Lenovo Legion 5 16IRX9 83DG007UIV,Intel Core i9 14900HX,32GB,NVIDIA GeForce RTX 4060,1TB SSD,16 inches,7720,0.929,,6
Laptop,Lenovo Legion 5 16IRX9 83DG0089IV,Intel Core i7 14650HX,32GB,NVIDIA GeForce RTX 4060,1TB SSD, 16 inches,6680,0.516,,14
Laptop,Dell Gaming G5530 G5530-7491,Intel Core i7 13650HX,16GB,NVIDIA GeForce RTX 4060,1TB SSD,15.6 inches,7229,0.516,,10
Laptop,Omen 16-wd0031nj 8B7Z6EA,Intel Core i7  13700H,16GB,NVIDIA GeForce RTX 4050,512GB SSD,16.1 inches,5083,0.5215,,11
Laptop,Lenovo LOQ 15IRH8 82XV00K9IV,Intel Core i7 13620H,16GB,NVIDIA GeForce RTX 4060,512GB SSD,15.6 inches,5344,0.48,,8
Laptop,HP Victus Gaming 16-r0023nj 9J1G5EA,Intel Core i7 13700H,16GB,NVIDIA GeForce RTX 4050,512 GB SSD,15.6  inches,4875,0.5215,,15
Laptop,Dell G16 7630 G7630-7552,Intel Core i7  13650HX,16GB,NVIDIA GeForce RTX 4060,1TB SSD,16 inches,7300,0.516,,6
Laptop,HP OMEN 16-wd0031nj 8B7Z5EA,Intel Core i7 13700H,16GB,NVIDIA GeForce RTX 4050,512GB SSD,15.6 inches,5728,0.5215,,5
Laptop,Asus TUF Gaming F15 FX507ZC4-HN087,Intel Core i5 12500H,16GB,NVIDIA GeForce RTX 3050,512GB SSD,15.6 inches,3465,0.3535,,7
Laptop,Lenovo Legion 5 16IRX9 83DG0080IV,Intel Core i7 14650HX,32GB,NVIDIA GeForce RTX 4070,1TB SSD,16 inches,9267,0.516,,9
Laptop,Asus TUF Gaming F15 FX507ZC4-HN072,Intel Core i7 12700H,16GB,NVIDIA GeForce RTX 3050,512GB SSD,15.6  inches,3906,0.442,,13
Laptop,Lenovo Legion 5 16IRX9 83DG0086IV,Intel Core i9 14900HX,32GB,NVIDIA GeForce RTX 4060,1TB SSD,16 inches,9327,0.929,,14
Laptop,Lenovo Legion 5 16ITH6 82RF0084IV,Intel Core i7 12700H,16GB,NVIDIA GeForce RTX 3070,1TB  SSD,16 nches,6299,0.442,,11
Laptop,HP Victus Gaming 16-r1015nj 9Y066EA, Intel Core i7 14700HX,16GB, NVIDIA GeForce RTX 4060,512GB SSD,16.1  inches,6202,0.442,,8
Laptop,Gigabyte G5 15 G5-KF-E3EE313SH,Intel Core i5 12500H,16GB,NVIDIA GeForce RTX 4060,512GB SSD,15.6 inches,4896,0.3535,,10
Laptop,Lenovo LOQ 15IRH8 82XV00H9IV,Intel Core i5 13420H,16GB,NVIDIA GeForce RTX 4050,512GB SSD,15.6 inches,4971,0.2795,,9
Laptop,Lenovo Legion 7 16IRX9 83FD003XIV,Intel Core i9 14900HX,32GB,NVIDIA GeForce RTX 4070,1TB SSD,16 inches,10581,0.929,,15
Laptop,HP Victus Gaming 16-r1011nj 9Y064EA,Intel Core i7 14700HX,16GB,NVIDIA GeForce RTX 4050,512GB SSD,16.1  inches,5630,0.442,,12
Laptop,Gigabyte G5 15 G5-KF-E3EE313SH,Intel Core i5 12500H,16GB,NVIDIA GeForce RTX 4060,512GB SSD,15.6 inches,4896,0.3535,,6
Phone,Apple iPhone 14,Apple A15 Bionic,6 GB,,512 GB,6.1 inshes,3199,0.54445,120 Hz,14
Phone,Apple iPhone 11,Apple A13 Bionic,4 GB,,64 GB,6.1 inshes,1489,0.34645,120 Hz,11
Phone,Samsung Galaxy S20 Plus 5G SM-G986B,Exynos 990,8 GB,,128 GB,6.7 inshes,1255,0.17025,120 Hz,9
Phone,Apple iPhone 13 mini,Apple A15 Bionic,4 GB,,256 GB,5.4 inshes,2698,0.5194,120 Hz ,13
Phone,OnePlus 10 Pro,Snapdragon 8 Gen 1,12 GB,,256 GB,6.7 inshes,2599,0.46195,120 Hz,6
Phone,Galaxy A53 5G SM-A536E,Exynos 1200,8 GB,,128 GB,6.46 inshes,1115,0.27925,120 Hz,8
Phone,Apple iPhone 14 Pro,Apple A16 Bionic,8 GB,,512 GB,6.1 inshes,3966,0.6583,120 Hz,9
Phone,Google Pixel 7,Google Tensor G2,8 GB,,256 GB,6.3 inshes,1745,0.34925,90 Hz,7
